experiment  recorded   totalmethods  matches  callstosum recordedovertotal  matchedcalls
alarmclock 6 44 54002 180527 0.13636363636363635 0.299135309399702
boundedBuffer 4 29 12 32 0.13793103448275862 0.375
deadlock 4 22 2 8 0.18181818181818182 0.25
groovy 9 47 14329 86944 0.19148936170212766 0.16480723224144278
lang 4 32 2 8 0.125 0.25
loseNotify 4 28 0 8 0.14285714285714285 0.0
pool3 38 140 5355201 19287750 0.2714285714285714 0.2776477816230509
sleepingBarber 4 26 8 16 0.15384615384615385 0.5
twoStage 4 34 2 12 0.11764705882352941 0.16666666666666666
