id experiment reason pct
162 pool6 "<clinit>" 0.04065040650406504
163 pool6 "<init>" 0.37398373983739835
164 pool6 "array type" 0.04065040650406504
165 pool6 "blacklisted" 0.08943089430894309
166 pool6 "native method" 0.08943089430894309
167 pool6 "shared field read" 0.07317073170731707
168 pool6 "shared field write" 0.0
169 pool6 "static read" 0.024390243902439025
170 pool6 "transition or lock" 0.2682926829268293
171 producerconsumer "<clinit>" 0.045454545454545456
172 producerconsumer "<init>" 0.38636363636363635
173 producerconsumer "array type" 0.045454545454545456
174 producerconsumer "blacklisted" 0.045454545454545456
175 producerconsumer "native method" 0.22727272727272727
176 producerconsumer "shared field read" 0.0
177 producerconsumer "shared field write" 0.0
178 producerconsumer "static read" 0.0
179 producerconsumer "transition or lock" 0.25
180 sleepingBarber "<clinit>" 0.0
181 sleepingBarber "<init>" 0.36363636363636365
182 sleepingBarber "array type" 0.0
183 sleepingBarber "blacklisted" 0.045454545454545456
184 sleepingBarber "native method" 0.22727272727272727
185 sleepingBarber "shared field read" 0.0
186 sleepingBarber "shared field write" 0.0
187 sleepingBarber "static read" 0.0
188 sleepingBarber "transition or lock" 0.36363636363636365
189 twoStage "<clinit>" 0.0
190 twoStage "<init>" 0.5
191 twoStage "array type" 0.0
192 twoStage "blacklisted" 0.03333333333333333
193 twoStage "native method" 0.26666666666666666
194 twoStage "shared field read" 0.0
195 twoStage "shared field write" 0.0
196 twoStage "static read" 0.0
197 twoStage "transition or lock" 0.2
0 groovy-fixed "<clinit>" 0.0
1 groovy-fixed "<init>" 0.3488372093023256
2 groovy-fixed "array type" 0.0
3 groovy-fixed "blacklisted" 0.09302325581395349
4 groovy-fixed "native method" 0.11627906976744186
5 groovy-fixed "shared field read" 0.11627906976744186
6 groovy-fixed "shared field write" 0.0
7 groovy-fixed "static read" 0.0
8 groovy-fixed "transition or lock" 0.32558139534883723
9 lang-fixed "<clinit>" 0.0
10 lang-fixed "<init>" 0.43478260869565216
11 lang-fixed "array type" 0.0
12 lang-fixed "blacklisted" 0.043478260869565216
13 lang-fixed "native method" 0.30434782608695654
14 lang-fixed "shared field read" 0.0
15 lang-fixed "shared field write" 0.0
16 lang-fixed "static read" 0.0
17 lang-fixed "transition or lock" 0.21739130434782608
18 log4j1-fixed "<clinit>" 0.05442176870748299
19 log4j1-fixed "<init>" 0.4217687074829932
20 log4j1-fixed "array type" 0.027210884353741496
21 log4j1-fixed "blacklisted" 0.027210884353741496
22 log4j1-fixed "native method" 0.1836734693877551
